,Small-Low,Small-High,Big-Low,Big-High,Market ,Riskfree Rate
198602,7.36,6.58,8.01,6.89,7.66,0.53
198603,4.22,5.22,6.22,4.35,5.48,0.6
198604,2.27,0.43,0.54,-3.32,-0.79,0.52
198605,3.36,3.49,5.44,5.08,5.11,0.49
198606,-0.06,1.98,1.83,2.59,1.55,0.52
198607,-10.69,-5.68,-7.20,-2.64,-5.93,0.52
198608,2.15,4.51,4.77,9.45,6.53,0.46
198609,-8.25,-4.73,-10.05,-7.19,-8.15,0.45
198610,4.38,1.82,5.59,5.51,5.12,0.46
198611,0.07,0.48,2.04,1.50,1.56,0.39
198612,-3.18,-1.99,-2.45,-2.90,-2.78,0.49
198701,12.52,9.07,13.91,10.99,12.89,0.42
198702,9.61,5.06,7.47,0.03,4.82,0.43
198703,1.29,3.68,1.66,2.58,2.11,0.47
198704,-2.67,-3.66,-1.84,-1.50,-1.67,0.44
198705,-0.29,0.73,1.47,0.70,0.49,0.38
198706,1.43,3.54,4.67,4.70,4.42,0.48
198707,2.17,5.45,5.58,3.76,4.31,0.46
198708,2.89,2.91,4.68,2.76,3.99,0.47
198709,-2.56,-1.38,-1.93,-2.54,-2.14,0.45
198710,-32.39,-27.73,-23.18,-19.43,-22.64,0.6
198711,-6.69,-3.50,-8.80,-5.80,-7.42,0.35
198712,9.24,4.61,9.17,4.89,7.2,0.39
198801,2.19,6.56,2.06,8.01,4.5,0.29
198802,8.44,7.11,5.42,3.47,5.21,0.46
198803,3.71,3.34,-3.09,-1.21,-1.83,0.44
198804,1.36,2.54,-0.65,1.54,1.02,0.46
198805,-2.93,-0.48,0.00,2.12,0.22,0.51
198806,7.60,6.19,4.77,3.98,5.28,0.49
198807,-2.45,0.33,-1.54,0.22,-0.74,0.51
198808,-4.12,-1.57,-2.88,-1.37,-2.72,0.59
198809,2.69,2.78,5.08,3.62,3.92,0.62
198810,-2.02,0.64,2.28,3.03,1.76,0.61
198811,-3.87,-2.71,-1.67,-0.35,-1.72,0.57
198812,4.08,2.99,2.77,0.75,2.12,0.63
198901,4.35,5.40,7.07,7.04,6.65,0.55
198902,0.49,1.26,-2.34,-1.35,-1.64,0.61
198903,2.53,3.40,2.52,2.60,2.24,0.67
198904,4.83,3.88,6.00,4.03,5,0.67
198905,4.65,3.81,4.78,3.97,4.14,0.79
198906,-3.10,-0.07,-0.96,0.39,-0.64,0.71
198907,4.49,3.46,10.79,6.15,7.9,0.7
198908,2.64,2.57,1.08,2.59,2.18,0.74
198909,1.34,-0.85,0.53,0.03,-0.11,0.65
198910,-5.04,-6.45,-1.39,-2.05,-2.99,0.68
198911,0.66,-0.13,2.38,0.94,1.72,0.69
198912,0.13,-0.24,1.69,2.61,1.77,0.61
199001,-9.21,-7.94,-7.51,-7.05,-7.28,0.57
199002,3.24,2.30,0.33,2.48,1.68,0.57
199003,4.45,2.30,4.15,0.50,2.47,0.64
199004,-2.93,-4.39,-0.90,-4.54,-2.67,0.69
199005,8.54,4.33,10.82,7.55,9.1,0.68
199006,1.14,0.06,1.27,-1.52,-0.46,0.63
199007,-4.48,-4.24,-1.28,-1.56,-1.22,0.68
199008,-14.72,-11.34,-9.72,-9.93,-9.49,0.66
199009,-10.29,-8.20,-5.74,-6.37,-5.52,0.6
199010,-5.94,-5.87,0.34,0.78,-1.24,0.68
199011,8.99,4.86,7.38,5.19,6.92,0.57
199012,4.18,2.86,3.75,1.94,3.06,0.6
199101,9.34,7.65,6.32,4.31,5.21,0.52
199102,11.69,11.34,7.81,7.10,7.67,0.48
199103,7.80,6.57,4.02,2.77,3.09,0.44
199104,-0.61,1.64,-0.25,0.31,0.25,0.53
199105,4.32,2.63,4.67,5.22,4.12,0.47
199106,-5.33,-4.09,-4.87,-3.68,-4.52,0.42
199107,4.22,3.04,5.42,4.10,4.73,0.49
199108,4.42,4.31,3.36,1.87,2.78,0.46
199109,1.23,-1.07,-2.20,-1.90,-1.13,0.46
199110,3.11,1.96,1.49,1.77,1.71,0.42
199111,-4.80,-5.53,-2.50,-5.62,-3.8,0.39
199112,10.17,7.50,14.44,9.03,11.22,0.38
199201,7.63,10.47,-2.25,3.96,-0.25,0.34
199202,0.77,7.02,0.38,6.86,1.37,0.28
199203,-6.35,-0.69,-2.77,-1.12,-2.32,0.34
199204,-5.56,-1.02,0.17,4.22,1.39,0.32
199205,-0.66,2.53,0.88,0.24,0.58,0.28
199206,-6.17,-2.69,-2.50,0.83,-2.02,0.32
199207,2.62,3.82,4.35,2.09,4.08,0.31
199208,-4.32,-2.64,-1.14,-4.89,-2.12,0.26
199209,1.47,1.45,1.62,1.22,1.45,0.26
199210,4.38,1.65,2.39,0.92,1.25,0.23
199211,9.63,6.70,4.58,4.56,4.36,0.23
199212,2.58,4.90,0.69,3.41,1.81,0.28
199301,1.31,6.55,-1.11,5.39,1.16,0.23
199302,-6.38,1.08,-2.29,3.08,0.34,0.22
199303,2.12,3.62,1.78,2.72,2.55,0.25
199304,-3.74,-2.59,-5.02,-0.94,-2.81,0.24
199305,6.65,3.09,4.00,0.73,3.11,0.22
199306,0.72,1.50,-1.02,3.43,0.56,0.25
199307,-0.36,2.25,-2.22,1.65,-0.1,0.24
199308,3.98,3.32,3.60,3.36,3.96,0.25
199309,3.24,2.55,-0.75,-0.96,0.14,0.26
199310,3.87,2.66,2.98,1.10,1.63,0.22
199311,-3.29,-2.42,-0.05,-1.46,-1.64,0.25
199312,2.59,2.73,1.38,2.38,1.88,0.23
199401,1.92,5.10,2.01,3.01,3.12,0.25
199402,-0.91,-0.91,-1.63,-4.51,-2.34,0.21
199403,-6.22,-4.33,-4.69,-3.95,-4.51,0.27
199404,-0.80,1.38,0.38,1.57,0.95,0.27
199405,-2.54,0.06,1.49,-0.72,0.89,0.31
199406,-4.75,-2.09,-3.05,-2.35,-2.72,0.31
199407,1.49,2.18,3.05,3.55,3.1,0.28
199408,7.24,4.03,5.79,3.33,4.38,0.37
199409,0.58,-0.43,-1.19,-4.00,-1.94,0.37
199410,0.61,-1.78,2.25,1.14,1.72,0.38
199411,-3.88,-3.66,-2.97,-5.08,-3.67,0.37
199412,0.76,1.55,1.41,1.68,1.3,0.44
199501,-1.11,1.16,2.18,1.54,2.22,0.42
199502,3.77,4.30,4.09,5.66,4.03,0.4
199503,2.73,1.13,3.00,2.47,2.65,0.46
199504,0.96,3.08,2.06,4.43,2.55,0.44
199505,0.89,2.99,3.62,4.89,3.44,0.54
199506,7.38,4.14,3.75,2.45,3.19,0.47
199507,7.95,4.97,3.94,3.54,4.17,0.45
199508,1.99,4.11,-0.07,3.24,1.02,0.47
199509,2.34,1.42,4.63,4.02,3.78,0.43
199510,-5.73,-3.78,0.49,-2.96,-1.05,0.47
199511,3.60,4.02,3.97,5.44,4.38,0.42
199512,1.89,2.20,0.46,1.85,1.52,0.49
199601,0.31,0.89,2.96,3.04,2.69,0.43
199602,4.83,2.83,1.90,1.04,1.72,0.39
199603,2.45,2.57,0.05,1.93,1.12,0.39
199604,8.70,4.63,2.97,-0.76,2.52,0.46
199605,5.99,5.14,3.73,2.16,2.78,0.42
199606,-5.98,-2.44,0.05,-0.38,-0.74,0.4
199607,-13.75,-5.59,-5.49,-4.75,-5.52,0.45
199608,7.12,4.60,2.06,3.66,3.18,0.41
199609,5.30,3.17,6.76,2.59,5.45,0.44
199610,-5.08,0.93,0.77,5.00,1.28,0.42
199611,1.73,3.96,7.17,7.26,6.66,0.41
199612,0.58,1.92,-1.79,-1.34,-1.24,0.46
199701,4.01,2.95,6.70,4.48,5.43,0.45
199702,-6.35,1.25,-0.13,2.65,-0.1,0.39
199703,-8.47,-1.66,-5.50,-4.69,-4.59,0.43
199704,-3.28,-0.42,6.55,3.55,4.47,0.43
199705,15.59,8.39,6.94,6.40,7.23,0.49
199706,3.64,6.83,4.11,3.38,4.47,0.37
199707,4.76,5.86,7.46,8.05,7.76,0.43
199708,3.96,3.24,-5.57,-2.09,-3.74,0.41
199709,8.85,8.15,5.19,5.94,5.79,0.44
199710,-6.15,-2.17,-2.96,-3.02,-3.38,0.42
199711,-3.42,0.29,5.15,3.00,3.37,0.39
199712,-2.17,2.09,1.41,4.08,1.8,0.48
199801,-0.58,-0.83,2.91,0.26,0.58,0.43
199802,8.38,7.34,6.90,7.68,7.43,0.39
199803,4.43,4.89,4.91,6.57,5.15,0.39
199804,0.67,2.18,0.94,0.89,1.16,0.43
199805,-7.30,-2.79,-2.38,1.43,-2.67,0.4
199806,0.52,-0.19,5.89,1.96,3.59,0.41
199807,-7.84,-7.01,-0.47,-3.25,-2.06,0.4
199808,-24.47,-18.19,-13.85,-13.32,-15.65,0.43
199809,8.94,3.43,7.74,6.63,6.61,0.46
199810,4.76,3.01,7.92,5.26,7.45,0.32
199811,8.97,5.32,7.12,4.48,6.41,0.31
199812,6.64,2.72,8.58,3.59,6.54,0.38
199901,4.21,0.69,5.13,0.59,3.85,0.35
199902,-9.18,-8.06,-4.44,-2.76,-3.73,0.35
199903,-0.23,-2.99,4.01,1.50,3.88,0.43
199904,8.96,9.38,2.34,6.94,4.7,0.37
199905,2.05,4.18,-2.54,0.13,-2.12,0.34
199906,6.97,5.89,6.59,0.48,5.17,0.4
199907,-1.27,-1.32,-3.01,-4.50,-3.09,0.38
199908,-2.88,-3.30,-0.07,-2.26,-0.99,0.39
199909,0.64,-2.65,-1.91,-5.40,-2.42,0.39
199910,0.39,-2.82,6.83,4.28,6.52,0.39
199911,13.49,4.19,4.27,0.57,3.73,0.36
199912,18.79,6.73,8.28,3.00,8.16,0.44
200001,0.15,0.74,-5.00,-6.22,-4.33,0.41
200002,27.09,13.03,1.59,-4.22,2.88,0.43
200003,-12.47,-1.50,8.30,12.07,5.67,0.47
200004,-14.76,-4.54,-4.46,2.51,-5.94,0.46
200005,-8.11,-4.85,-3.69,-1.85,-3.92,0.5
200006,17.50,8.63,5.17,-5.66,5.04,0.4
200007,-7.29,2.18,-3.05,3.76,-2.03,0.48
200008,8.65,6.51,7.63,8.40,7.53,0.5
200009,-7.33,-0.52,-6.00,-0.32,-4.94,0.51
200010,-8.41,-1.63,-2.11,2.15,-2.2,0.56
200011,-16.50,-2.75,-10.65,-1.80,-10.21,0.51
200012,2.76,8.41,-0.10,8.91,1.69,0.5
200101,12.72,6.53,3.60,-0.02,3.67,0.54
200102,-12.65,0.51,-11.28,1.37,-9.67,0.38
200103,-7.68,-1.42,-8.01,-1.36,-6.84,0.42
200104,10.53,5.24,8.93,4.85,8.33,0.39
200105,3.96,6.18,0.41,4.48,1.04,0.32
200106,6.48,2.58,-2.10,-0.31,-1.66,0.28
200107,-9.06,-0.96,-1.81,1.23,-1.83,0.3
200108,-7.18,-1.26,-6.93,-7.85,-6.15,0.31
200109,-17.15,-13.98,-8.09,-8.04,-8.97,0.28
200110,11.48,4.49,3.33,-5.89,2.68,0.22
200111,8.78,9.00,7.91,11.71,7.71,0.17
200112,6.91,6.71,0.62,3.03,1.76,0.15
200201,-4.95,2.99,-0.92,-2.21,-1.3,0.14
200202,-8.04,-0.95,-2.48,-4.58,-2.16,0.13
200203,9.01,10.20,3.55,4.56,4.37,0.13
200204,-3.73,4.13,-7.18,-7.18,-5.05,0.15
200205,-6.61,-2.49,-1.35,-2.09,-1.24,0.14
200206,-7.21,-2.39,-7.47,-12.03,-7.08,0.13
200207,-15.02,-14.84,-6.40,-13.41,-8.03,0.15
200208,-0.52,-0.76,0.09,5.31,0.64,0.14
200209,-8.51,-6.92,-10.80,-9.77,-10.21,0.14
200210,7.03,0.38,10.05,5.77,7.98,0.14
200211,13.51,7.35,5.21,9.06,6.08,0.12
200212,-8.83,-3.76,-6.29,-6.86,-5.65,0.11
200301,-2.25,-1.34,-2.74,-5.52,-2.47,0.1
200302,-3.67,-3.44,-1.35,-4.50,-1.79,0.09
200303,1.68,0.77,1.69,-1.58,1.19,0.1
200304,11.12,9.25,7.62,11.56,8.32,0.1
200305,13.30,9.91,5.09,7.88,6.14,0.09
200306,2.24,3.87,1.26,0.95,1.52,0.1
200307,8.10,6.85,1.89,0.86,2.42,0.07
200308,4.53,6.34,2.06,4.31,2.41,0.07
200309,-1.72,0.79,-1.11,-3.57,-1.16,0.08
200310,8.41,10.55,5.10,6.48,6.15,0.07
200311,2.81,4.68,0.85,2.70,1.42,0.07
200312,1.07,3.30,4.27,6.88,4.37,0.08
200401,3.78,6.99,1.57,2.31,2.22,0.07
200402,0.58,0.13,1.24,2.66,1.46,0.06
200403,1.30,0.37,-1.96,-0.60,-1.23,0.09
200404,-3.43,-6.08,-0.33,-2.92,-1.75,0.08
200405,1.15,0.59,1.36,1.14,1.23,0.06
200406,3.34,4.64,1.35,2.81,1.94,0.08
200407,-9.84,-4.63,-4.55,-1.54,-3.96,0.1
200408,-2.44,-0.91,-0.38,0.16,0.19,0.11
200409,5.72,3.54,0.88,2.58,1.71,0.11
200410,3.04,1.38,1.69,2.11,1.54,0.11
200411,8.26,9.41,3.65,6.09,4.69,0.15
200412,4.29,4.21,3.68,3.63,3.59,0.16
200501,-5.48,-2.45,-3.00,-2.10,-2.6,0.16
200502,0.64,2.92,2.04,3.05,2.05,0.16
200503,-4.06,-2.04,-1.33,-0.23,-1.76,0.21
200504,-6.36,-6.18,-1.77,-2.65,-2.4,0.21
200505,7.41,5.65,3.78,3.88,3.89,0.24
200506,2.76,4.53,-0.79,2.68,0.8,0.23
200507,6.77,6.35,4.58,3.97,4.16,0.24
200508,-2.20,-1.20,-1.30,0.23,-0.92,0.3
200509,0.42,0.49,0.35,1.81,0.78,0.29
200510,-3.82,-2.43,-1.13,-2.06,-1.75,0.27
200511,5.20,3.88,4.08,3.03,3.92,0.31
200512,-0.11,-0.15,-0.72,0.20,0.07,0.32
200601,8.56,8.16,1.82,4.47,3.39,0.35
200602,-0.44,-0.34,-0.18,-0.79,0.04,0.34
200603,4.27,5.64,1.67,1.50,1.83,0.37
200604,-0.65,1.21,-0.06,3.26,1.09,0.36
200605,-7.74,-3.91,-3.05,-1.77,-3.14,0.43
200606,-0.55,0.18,-0.08,0.94,0.05,0.4
200607,-5.89,-2.20,-0.76,1.42,-0.38,0.4
200608,3.25,2.61,3.38,0.58,2.45,0.42
200609,0.93,1.13,2.50,2.40,2.25,0.41
200610,6.01,4.87,3.37,4.41,3.64,0.41
200611,2.68,2.99,1.82,1.65,2.13,0.42
200612,-0.74,2.42,0.33,3.49,1.27,0.4
200701,2.36,2.36,1.90,1.67,1.84,0.44
200702,-0.16,-0.75,-1.96,-1.55,-1.58,0.38
200703,1.42,0.66,0.85,1.17,1.11,0.43
200704,2.35,1.47,4.84,3.42,3.93,0.44
200705,4.16,3.07,3.20,4.20,3.65,0.41
200706,-0.53,-1.70,-1.05,-2.14,-1.56,0.4
200707,-4.86,-7.82,-1.41,-5.13,-3.33,0.4
200708,1.73,-0.80,1.78,-0.16,1.34,0.42
200709,2.64,0.21,4.77,3.47,3.54,0.32
200710,3.76,0.59,3.06,1.04,2.12,0.32
200711,-7.16,-7.67,-3.17,-5.03,-4.49,0.34
200712,0.34,-0.65,-0.39,-0.44,-0.6,0.27
200801,-8.39,-4.19,-7.43,-4.33,-6.15,0.21
200802,-4.25,-3.69,-2.19,-4.65,-2.96,0.13
200803,-1.53,-0.01,0.81,-1.01,-0.76,0.17
200804,5.19,1.82,3.76,5.20,4.78,0.18
200805,5.51,3.23,2.26,1.78,2.04,0.18
200806,-7.46,-8.54,-7.19,-10.97,-8.27,0.17
200807,2.22,5.56,-1.33,6.96,-0.62,0.15
200808,3.05,7.00,1.45,0.61,1.66,0.13
200809,-11.19,-6.47,-9.63,-1.70,-9.09,0.15
200810,-21.98,-20.49,-14.99,-22.27,-17.15,0.08
200811,-12.07,-14.36,-6.05,-15.64,-7.83,0.03
200812,5.01,5.20,1.81,1.15,1.74,0
200901,-7.46,-15.89,-4.99,-18.75,-8.12,0
200902,-9.66,-15.11,-7.43,-16.48,-10.09,0.01
200903,9.12,10.85,8.15,13.47,8.97,0.02
200904,16.55,17.29,7.48,17.66,10.2,0.01
200905,3.71,2.44,4.60,5.44,5.21,0
200906,5.25,0.85,1.21,0.19,0.44,0.01
200907,6.66,14.09,6.71,9.83,7.73,0.01
200908,1.13,8.75,1.86,9.77,3.34,0.01
200909,6.55,7.58,3.56,4.36,4.09,0.01
200910,-6.80,-9.38,-0.59,-6.36,-2.59,0
200911,1.72,4.09,6.62,3.91,5.56,0
200912,8.38,8.55,1.90,1.75,2.76,0.01
201001,-3.69,-2.78,-4.06,-4.36,-3.36,0
201002,3.47,7.55,3.14,5.38,3.4,0
201003,7.05,8.89,5.34,7.69,6.32,0.01
201004,4.18,9.39,0.98,1.40,2.01,0.01
201005,-6.04,-10.45,-7.44,-7.80,-7.88,0.01
201006,-5.99,-10.98,-4.58,-8.58,-5.55,0.01
201007,6.92,7.23,6.70,5.86,6.94,0.01
201008,-6.87,-8.58,-4.10,-6.29,-4.76,0.01
201009,14.13,11.03,10.04,6.91,9.55,0.01
201010,4.79,3.61,4.64,0.65,3.89,0.01
201011,3.55,3.27,0.53,-0.99,0.61,0.01
201012,7.08,9.52,4.91,10.08,6.83,0.01
201101,-0.33,0.48,2.06,2.87,2,0.01
201102,5.02,5.40,2.62,4.41,3.5,0.01
201103,3.50,1.93,0.10,-1.43,0.46,0.01
201104,3.50,1.03,3.67,1.11,2.9,0
201105,-1.56,-3.40,-0.54,-2.83,-1.27,0
201106,-1.98,-1.96,-1.49,-2.13,-1.75,0
201107,-4.47,-3.41,-0.89,-4.42,-2.36,0
201108,-8.99,-9.86,-4.13,-8.13,-5.98,0.01
201109,-11.04,-10.96,-6.34,-9.34,-7.59,0
201110,15.53,13.23,9.97,11.91,11.35,0
201111,-1.87,-0.25,-0.23,-2.54,-0.28,0
201112,-0.49,1.17,-0.16,1.65,0.74,0
201201,7.95,5.85,5.62,5.53,5.05,0
201202,3.40,2.84,4.69,5.45,4.42,0
201203,2.49,2.76,3.78,5.25,3.11,0
201204,-1.35,-0.97,-0.57,-1.90,-0.85,0
201205,-6.21,-6.08,-5.66,-7.02,-6.18,0.01
201206,5.84,4.60,2.80,4.92,3.89,0
201207,-3.02,-1.82,1.25,-0.47,0.79,0
201208,3.06,3.39,2.44,4.67,2.56,0.01
201209,3.17,3.90,1.86,4.19,2.74,0.01
201210,-3.94,-0.74,-2.64,1.76,-1.75,0.01
201211,0.98,0.73,1.18,-0.50,0.79,0.01
201212,2.63,4.41,-0.23,5.10,1.19,0.01
201301,7.05,5.95,4.60,7.53,5.57,0
201302,1.09,1.00,1.33,1.42,1.29,0
201303,5.37,4.55,3.69,3.98,4.03,0
201304,-0.83,0.00,1.69,2.04,1.55,0
201305,5.16,5.01,2.04,7.29,2.8,0
201306,0.01,-0.31,-1.81,-1.87,-1.2,0
201307,7.41,7.81,5.55,6.26,5.65,0
201308,-0.88,-3.82,-1.74,-4.36,-2.71,0
201309,6.03,5.52,4.17,2.30,3.77,0
201310,1.13,4.07,4.50,3.85,4.18,0
201311,4.89,4.33,3.36,4.40,3.12,0
201312,1.99,1.77,2.43,2.05,2.81,0
201401,-0.15,-3.70,-3.15,-3.76,-3.32,0
201402,3.95,5.01,5.02,3.18,4.65,0
201403,-3.37,1.45,-0.86,4.50,0.43,0
201404,-6.14,-2.89,0.27,-0.70,-0.19,0
201405,-0.64,0.04,2.50,1.28,2.06,0
201406,7.24,4.49,1.75,3.02,2.61,0
201407,-6.30,-5.41,-1.44,-2.32,-2.04,0
201408,5.06,4.52,4.97,4.39,4.24,0
201409,-4.71,-6.43,-1.19,-1.91,-1.97,0
201410,7.41,5.32,2.81,1.52,2.52,0
201411,1.74,-0.87,3.79,0.42,2.55,0
201412,2.38,3.30,-1.21,2.01,-0.06,0
201501,-2.98,-5.11,-1.55,-6.36,-3.11,0
201502,7.47,5.13,6.60,5.41,6.13,0
201503,2.13,1.12,-1.33,-1.23,-1.12,0
201504,-3.16,-0.74,0.27,1.54,0.59,0
201505,3.12,0.85,1.31,0.93,1.36,0
201506,2.44,0.52,-1.70,-1.39,-1.53,0
201507,-0.28,-5.61,3.06,0.12,1.54,0
201508,-8.93,-3.25,-6.25,-6.53,-6.04,0
201509,-7.73,-4.85,-2.25,-4.08,-3.08,0
201510,4.44,5.89,7.96,6.33,7.75,0
201511,5.79,3.67,0.47,1.56,0.56,0
201512,-3.80,-6.76,-1.30,-3.48,-2.16,0.01
201601,-13.84,-6.84,-5.18,-7.99,-5.76,0.01
201602,-0.68,0.53,0.00,-2.16,-0.05,0.02
201603,7.91,8.56,6.60,8.23,6.98,0.02
201604,2.46,3.74,-0.63,4.60,0.93,0.01
201605,2.33,0.23,2.13,0.64,1.79,0.01
201606,0.55,0.12,0.04,-2.49,-0.03,0.02